# ID, Campaign, Class, Class Probs (DSCUT, EA, EB, GDOR, Noise, OTHPER, RRab), Anomaly Score
202059606,0, Noise,0.007047,0.028139,0.001066,0.025027,0.609549,0.329172,0.000000,0.030928
202059635,0,OTHPER,0.000539,0.016129,0.016644,0.027878,0.006558,0.931717,0.000534,0.000000
202059638,0, Noise,0.001007,0.005849,0.000444,0.004732,0.788286,0.199681,0.000000,0.003344
202059645,0,OTHPER,0.000071,0.006859,0.001980,0.001449,0.031920,0.957168,0.000553,0.038062
202059653,0,OTHPER,0.000543,0.012217,0.005830,0.041419,0.032140,0.907544,0.000307,0.003344
202059697,0,OTHPER,0.003267,0.016912,0.015440,0.027886,0.009920,0.925807,0.000768,0.067616
202059720,0,OTHPER,0.000752,0.021971,0.007028,0.007228,0.420387,0.542510,0.000124,0.023891
202059766,0,OTHPER,0.000508,0.002515,0.002731,0.010311,0.049664,0.934271,0.000000,0.034483
202060054,0, Noise,0.000961,0.011179,0.003685,0.029070,0.509657,0.445449,0.000000,0.003344
202060091,0, Noise,0.018496,0.046961,0.001088,0.093254,0.432326,0.407649,0.000226,0.030928
202060092,0,  GDOR,0.158247,0.056008,0.072350,0.440117,0.108996,0.160913,0.003370,0.083032
202060093,0, Noise,0.073348,0.168255,0.036857,0.164065,0.365844,0.191278,0.000353,0.006711
202060097,0,OTHPER,0.001067,0.002730,0.013977,0.019359,0.046266,0.916416,0.000185,0.052632
202060098,0,OTHPER,0.001323,0.036826,0.005593,0.002096,0.067762,0.886048,0.000352,0.060071
202060124,0,    EB,0.000147,0.062132,0.859957,0.000620,0.002581,0.068757,0.005806,0.310044
202060130,0,OTHPER,0.000215,0.004027,0.000882,0.112512,0.120262,0.762101,0.000000,0.013514
202060132,0,    EB,0.013657,0.067632,0.564895,0.065318,0.025859,0.260711,0.001927,0.158301
202060135,0,    EB,0.000640,0.056354,0.879185,0.002353,0.003025,0.055556,0.002887,0.321586
202060142,0,OTHPER,0.117597,0.005976,0.000681,0.055386,0.339377,0.478891,0.002091,0.041667
202060145,0,OTHPER,0.003863,0.001352,0.002410,0.083628,0.028248,0.880433,0.000065,0.075269
202060162,0,OTHPER,0.012535,0.077072,0.065494,0.146367,0.047743,0.650468,0.000320,0.102941
202060164,0, Noise,0.000091,0.006704,0.000194,0.000517,0.877221,0.115273,0.000000,0.010101
202060168,0,OTHPER,0.000314,0.006361,0.005090,0.016155,0.050619,0.920478,0.000982,0.086957
202060169,0,OTHPER,0.049998,0.062091,0.029901,0.215498,0.316759,0.323747,0.002006,0.145038
202060170,0,OTHPER,0.008617,0.005131,0.000931,0.090482,0.388618,0.506098,0.000123,0.016949
202060171,0,    EA,0.002011,0.349567,0.141578,0.165052,0.121281,0.220403,0.000108,0.003344
202060174,0,OTHPER,0.000318,0.005201,0.000069,0.126620,0.273813,0.593978,0.000000,0.000000
202060176,0,OTHPER,0.000122,0.008965,0.000181,0.012046,0.045009,0.933677,0.000000,0.013514
202060178,0,OTHPER,0.019276,0.015334,0.038353,0.427236,0.026405,0.469476,0.003920,0.185771
202060179,0,  GDOR,0.002666,0.037782,0.010745,0.643119,0.049653,0.255911,0.000123,0.006711
202060184,0, DSCUT,0.660984,0.033196,0.010390,0.096759,0.074288,0.119447,0.004936,0.111111
202060187,0,OTHPER,0.002677,0.030109,0.011515,0.376121,0.115741,0.463528,0.000310,0.003344
202060189,0,OTHPER,0.002754,0.129769,0.148202,0.040019,0.090035,0.585922,0.003300,0.023891
202060191,0,OTHPER,0.005266,0.006174,0.007323,0.069293,0.094415,0.816520,0.001009,0.136364
202060193,0, Noise,0.003196,0.007304,0.002042,0.019962,0.540643,0.426660,0.000192,0.000000
202060194,0,OTHPER,0.000579,0.029693,0.013052,0.029584,0.303249,0.623634,0.000210,0.063830
202060196,0,OTHPER,0.003052,0.006158,0.011119,0.020994,0.125635,0.833040,0.000000,0.083032
202060198,0,    EA,0.000049,0.995727,0.003489,0.000118,0.000421,0.000197,0.000000,0.234568
202060207,0,OTHPER,0.000071,0.004871,0.003480,0.013070,0.173974,0.804406,0.000126,0.071429
202060210,0, Noise,0.002187,0.102587,0.014890,0.003293,0.688615,0.187770,0.000658,0.006711
202060369,0,OTHPER,0.004804,0.023217,0.007165,0.112256,0.354846,0.497667,0.000045,0.195219
202060377,0,OTHPER,0.002532,0.000832,0.000940,0.048538,0.179622,0.767535,0.000000,0.016949
202060378,0,OTHPER,0.000967,0.002303,0.006597,0.035998,0.014639,0.939316,0.000180,0.013514
202060383,0, Noise,0.014481,0.061909,0.016162,0.090400,0.478348,0.338569,0.000130,0.003344
202060391,0, Noise,0.112181,0.112477,0.067542,0.240542,0.240759,0.226235,0.000264,0.030928
202060392,0,OTHPER,0.002174,0.035831,0.003940,0.032563,0.266427,0.658592,0.000473,0.016949
202060403,0,OTHPER,0.010105,0.029406,0.056797,0.072915,0.009876,0.819092,0.001808,0.083032
202060404,0, Noise,0.032899,0.054537,0.016161,0.210461,0.413575,0.270564,0.001804,0.013514
202060408,0, Noise,0.004307,0.004709,0.000323,0.223802,0.384562,0.381804,0.000493,0.071429
202060419,0,OTHPER,0.004212,0.046832,0.013316,0.227946,0.152000,0.555459,0.000236,0.010101
